2019-04-11T01:52:36.523 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.524 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.526 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.528 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.529 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.530 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.534 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.543 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.543 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.545 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.545 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.546 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.547 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.549 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.550 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.553 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.554 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.556 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.557 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.557 CONU9997 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.558 CONU9997 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.559 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.560 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.564 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.564 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:52:36.567 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:52:36.569 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:53:16.583 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.587 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.593 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.593 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.594 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.599 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:53:16.601 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
